ticker,revenue,checked_at
ADGM,,2026-06-08 03:51:03.488256
ADI,12740193280.0,2026-06-08 03:51:03.488256
ADIL,,2026-06-08 03:51:03.488256
ADM,80583999488.0,2026-06-08 03:51:03.488256
ADMA,509864000.0,2026-06-08 03:51:03.488256
ADNT,14938000384.0,2026-06-08 03:51:03.488256
ADP,21600399360.0,2026-06-08 03:51:03.488256
ADPT,295407008.0,2026-06-08 03:51:03.488256
ADSE,31559000.0,2026-06-08 03:51:03.488256
ADSEW,31559000.0,2026-06-08 03:51:03.488256
ADSK,7506999808.0,2026-06-08 03:51:03.488256
ADT,5139644928.0,2026-06-08 03:51:03.488256
ADTN,1122148992.0,2026-06-08 03:51:03.488256
ADTX,14336.0,2026-06-08 03:51:03.488256
ADUR,241876.0,2026-06-08 03:51:03.488256
ADUS,1448433024.0,2026-06-08 03:51:03.488256
ADV,3590450944.0,2026-06-08 03:51:03.488256
ADVB,,2026-06-08 03:51:03.488256
ADX,32790674.0,2026-06-08 03:51:03.488256
ADXN,172860.0,2026-06-08 03:51:03.488256
AEAQ,,2026-06-08 03:51:03.488256
AEAQU,,2026-06-08 03:51:03.488256
AEAQW,,2026-06-08 03:51:03.488256
AEBI,1732984064.0,2026-06-08 03:51:03.488256
AEC,,2026-06-08 03:51:03.488256
AEE,8544999936.0,2026-06-08 03:51:03.488256
AEF,6482234.0,2026-06-08 03:51:03.488256
AEFC,,2026-06-08 03:51:03.488256
AEG,12193000448.0,2026-06-08 03:51:03.488256
AEHL,81095984.0,2026-06-08 03:51:03.488256
AEHR,45255000.0,2026-06-08 03:51:03.488256
AEI,4383350.0,2026-06-08 03:51:03.488256
AEIS,1905200000.0,2026-06-08 03:51:03.488256
AEM,13539191808.0,2026-06-08 03:51:03.488256
AEMD,,2026-06-08 03:51:03.488256
AENT,1108636032.0,2026-06-08 03:51:03.488256
AENTW,1108636032.0,2026-06-08 03:51:03.488256
AEO,5652921856.0,2026-06-08 03:51:03.488256
AEON,,2026-06-08 03:51:03.488256
AEP,22432999424.0,2026-06-08 03:51:03.488256
AER,8681363456.0,2026-06-08 03:51:03.488256
AERO,5518005760.0,2026-06-08 03:51:03.488256
AERT,69200000.0,2026-06-08 03:51:03.488256
AERTW,69200000.0,2026-06-08 03:51:03.488256
AES,12487000064.0,2026-06-08 03:51:03.488256
AESI,1063302016.0,2026-06-08 03:51:03.488256
AESPU,,2026-06-08 03:51:03.488256
AEVA,20973000.0,2026-06-08 03:51:03.488256
AEXA,,2026-06-08 03:51:03.488256
AEYE,41131000.0,2026-06-08 03:51:03.488256
AFB,27372320.0,2026-06-08 03:51:03.488256
AFBI,14280000.0,2026-06-08 03:51:03.488256
AFCG,2717172.0,2026-06-08 03:51:03.488256
AFG,7946999808.0,2026-06-08 03:51:03.488256
AFGB,,2026-06-08 03:51:03.488256
AFGC,,2026-06-08 03:51:03.488256
AFGD,,2026-06-08 03:51:03.488256
AFGE,,2026-06-08 03:51:03.488256
AFJK,,2026-06-08 03:51:03.488256
AFJKR,,2026-06-08 03:51:03.488256
AFJKU,,2026-06-08 03:51:03.488256
AFL,18112000000.0,2026-06-08 03:51:03.488256
AFRI,176488000.0,2026-06-08 03:51:03.488256
AFRIW,176488000.0,2026-06-08 03:51:03.488256
AFRM,3971538944.0,2026-06-08 03:51:03.488256
AFYA,3773606912.0,2026-06-08 03:51:03.488256
AG,1489883008.0,2026-06-08 03:51:03.488256
AGBK,3643056128.0,2026-06-08 03:51:03.488256
AGCC,6206178.0,2026-06-08 03:51:03.488256
AGCO,10374400000.0,2026-06-08 03:51:03.488256
AGD,20196792.0,2026-06-08 03:51:03.488256
AGEN,123866000.0,2026-06-08 03:51:03.488256
AGI,2072499968.0,2026-06-08 03:51:03.488256
AGIG,543597.0,2026-06-08 03:51:03.488256
AGIO,66048000.0,2026-06-08 03:51:03.488256
AGL,5820254208.0,2026-06-08 03:51:03.488256
AGM,385307008.0,2026-06-08 03:51:03.488256
AGM$D,,2026-06-08 03:51:03.488256
AGM$E,,2026-06-08 03:51:03.488256
AGM$F,,2026-06-08 03:51:03.488256
AGM$G,,2026-06-08 03:51:03.488256
AGM$H,,2026-06-08 03:51:03.488256
AGM$I,,2026-06-08 03:51:03.488256
AGM-A,385307008.0,2026-06-08 03:51:03.488256
AGMB,,2026-06-08 03:51:03.488256
AGMH,48526744.0,2026-06-08 03:51:03.488256
AGNC,1604999936.0,2026-06-08 03:51:03.488256
AGNCL,1604999936.0,2026-06-08 03:51:03.488256
AGNCM,1604999936.0,2026-06-08 03:51:03.488256
AGNCN,1604999936.0,2026-06-08 03:51:03.488256
AGNCO,1604999936.0,2026-06-08 03:51:03.488256
AGNCP,1604999936.0,2026-06-08 03:51:03.488256
AGNCZ,1604999936.0,2026-06-08 03:51:03.488256
AGNT,4822945792.0,2026-06-08 03:51:03.488256
AGO,814000000.0,2026-06-08 03:51:03.488256
AGPU,125284.0,2026-06-08 03:51:03.488256
AGRO,1500908032.0,2026-06-08 03:51:03.488256
AGRZ,62679872.0,2026-06-08 03:51:03.488256
AGX,1041900032.0,2026-06-08 03:51:03.488256
AGYS,319312000.0,2026-06-08 03:51:03.488256
AHCO,3286774016.0,2026-06-08 03:51:03.488256
AHG,14842253.0,2026-06-08 03:51:03.488256
AHL$D,,2026-06-08 03:51:03.488256
AHL$E,,2026-06-08 03:51:03.488256
AHL$F,,2026-06-08 03:51:03.488256
AHMA,20229180.0,2026-06-08 03:51:03.488256
AHR,2370967040.0,2026-06-08 03:51:03.488256
AHRT,286854016.0,2026-06-08 03:51:03.488256
AHRT$A,,2026-06-08 03:51:03.488256
AHT,1094664960.0,2026-06-08 03:51:03.488256
AHT$D,,2026-06-08 03:51:03.488256
AHT$F,,2026-06-08 03:51:03.488256
AHT$G,,2026-06-08 03:51:03.488256
AHT$H,,2026-06-08 03:51:03.488256
AHT$I,,2026-06-08 03:51:03.488256
AI,250268000.0,2026-06-08 03:51:03.488256
AIAI,,2026-06-08 03:51:03.488256
AIB,18930172.0,2026-06-08 03:51:03.488256
AIDX,1844688.0,2026-06-08 03:51:03.488256
AIFA,7975219.0,2026-06-08 03:51:03.488256
AIFC,24703000.0,2026-06-08 03:51:03.488256
AIFF,1584000.0,2026-06-08 03:51:03.488256
AIFU,556566976.0,2026-06-08 03:51:03.488256
AIG,26701000704.0,2026-06-08 03:51:03.488256
AIHS,3132462.0,2026-06-08 03:51:03.488256
AII,295529984.0,2026-06-08 03:51:03.488256
AIIA,,2026-06-08 03:51:03.488256
AIIA-R,,2026-06-08 03:51:03.488256
AIIA-U,,2026-06-08 03:51:03.488256
AIIO,950000.0,2026-06-08 03:51:03.488256
AIIOW,950000.0,2026-06-08 03:51:03.488256
AIIR,,2026-06-08 03:51:03.488256
AIM,88000.0,2026-06-08 03:51:03.488256
AIMD,18111.0,2026-06-08 03:51:03.488256
AIMDW,18111.0,2026-06-08 03:51:03.488256
AIN,1205372032.0,2026-06-08 03:51:03.488256
AIO,,2026-06-08 03:51:03.488256
AIOS,5067754.0,2026-06-08 03:51:03.488256
AIOT,432924992.0,2026-06-08 03:51:03.488256
AIP,76983000.0,2026-06-08 03:51:03.488256
AIR,3134500096.0,2026-06-08 03:51:03.488256
AIRE,4433925.0,2026-06-08 03:51:03.488256
AIRG,51277000.0,2026-06-08 03:51:03.488256
AIRI,47392000.0,2026-06-08 03:51:03.488256
AIRJ,,2026-06-08 03:51:03.488256
AIRJW,,2026-06-08 03:51:03.488256
AIRO,88013000.0,2026-06-08 03:51:03.488256
AIRS,151836000.0,2026-06-08 03:51:03.488256
AIRT,272467008.0,2026-06-08 03:51:03.488256
AIRTP,272467008.0,2026-06-08 03:51:03.488256
AISP,16171619.0,2026-06-08 03:51:03.488256
AISPW,16171619.0,2026-06-08 03:51:03.488256
AIT,4838729216.0,2026-06-08 03:51:03.488256
AIV,138486000.0,2026-06-08 03:51:03.488256
AIXC,4306316.0,2026-06-08 03:51:03.488256
AIXI,12327684.0,2026-06-08 03:51:03.488256
AIZ,13160399872.0,2026-06-08 03:51:03.488256
AIZN,,2026-06-08 03:51:03.488256
AJG,14197999616.0,2026-06-08 03:51:03.488256
AKA,604014976.0,2026-06-08 03:51:03.488256
AKAM,4266646016.0,2026-06-08 03:51:03.488256
AKAN,836664.0,2026-06-08 03:51:03.488256
AKBA,232404000.0,2026-06-08 03:51:03.488256
AKO-A,,2026-06-08 03:51:03.488256
AKO-B,,2026-06-08 03:51:03.488256
AKR,402239008.0,2026-06-08 03:51:03.488256
AKTS,8277000.0,2026-06-08 03:51:03.488256
AKTX,,2026-06-08 03:51:03.488256
ALAB,1001443968.0,2026-06-08 03:51:03.488256
ALAR,45333000.0,2026-06-08 03:51:03.488256
ALB,5494582784.0,2026-06-08 03:51:03.488256
ALB$A,,2026-06-08 03:51:03.488256
ALBT,0.0,2026-06-08 03:51:03.488256
ALC,10634000384.0,2026-06-08 03:51:03.488256
ALCO,16419000.0,2026-06-08 03:51:03.488256
ALDF,,2026-06-08 03:51:03.488256
ALDFU,,2026-06-08 03:51:03.488256
ALDFW,,2026-06-08 03:51:03.488256
ALDX,,2026-06-08 03:51:03.488256
ALEC,18417000.0,2026-06-08 03:51:03.488256
ALF,,2026-06-08 03:51:03.488256
ALFUU,,2026-06-08 03:51:03.488256
ALFUW,,2026-06-08 03:51:03.488256
ALG,1629913984.0,2026-06-08 03:51:03.488256
ALGM,890096000.0,2026-06-08 03:51:03.488256
ALGN,4095789056.0,2026-06-08 03:51:03.488256
ALGS,4705000.0,2026-06-08 03:51:03.488256
ALGT,2639937024.0,2026-06-08 03:51:03.488256
ALH,1746551040.0,2026-06-08 03:51:03.488256
ALHC,4256984064.0,2026-06-08 03:51:03.488256
ALIS,,2026-06-08 03:51:03.488256
ALISR,,2026-06-08 03:51:03.488256
ALISU,,2026-06-08 03:51:03.488256
ALIT,2248000000.0,2026-06-08 03:51:03.488256
ALK,14401999872.0,2026-06-08 03:51:03.488256
ALKS,1562300032.0,2026-06-08 03:51:03.488256
ALKT,471942016.0,2026-06-08 03:51:03.488256
ALL,68174000128.0,2026-06-08 03:51:03.488256
ALL$B,,2026-06-08 03:51:03.488256
ALL$H,,2026-06-08 03:51:03.488256
ALL$I,,2026-06-08 03:51:03.488256
ALL$J,,2026-06-08 03:51:03.488256
ALLE,4159000064.0,2026-06-08 03:51:03.488256
ALLO,,2026-06-08 03:51:03.488256
ALLR,320000.0,2026-06-08 03:51:03.488256
ALLT,105268000.0,2026-06-08 03:51:03.488256
ALLY,7687000064.0,2026-06-08 03:51:03.488256
ALM,50006000.0,2026-06-08 03:51:03.488256
ALMR,87155000.0,2026-06-08 03:51:03.488256
ALMS,8402000.0,2026-06-08 03:51:03.488256
ALMU,5196000.0,2026-06-08 03:51:03.488256
ALNT,560590016.0,2026-06-08 03:51:03.488256
ALNY,4286923008.0,2026-06-08 03:51:03.488256
ALOT,150515008.0,2026-06-08 03:51:03.488256
ALOV,,2026-06-08 03:51:03.488256
ALOVU,,2026-06-08 03:51:03.488256
ALOVW,,2026-06-08 03:51:03.488256
ALOY,800000.0,2026-06-08 03:51:03.488256
ALP,,2026-06-08 03:51:03.488256
ALPS,,2026-06-08 03:51:03.488256
ALRM,1037558016.0,2026-06-08 03:51:03.488256
ALRS,236535008.0,2026-06-08 03:51:03.488256
ALSN,3649999872.0,2026-06-08 03:51:03.488256
ALT,36000.0,2026-06-08 03:51:03.488256
ALTG,1823399936.0,2026-06-08 03:51:03.488256
ALTG$A,,2026-06-08 03:51:03.488256
ALTI,270974016.0,2026-06-08 03:51:03.488256
ALTO,916067008.0,2026-06-08 03:51:03.488256
ALUB,,2026-06-08 03:51:03.488256
ALUB-U,,2026-06-08 03:51:03.488256
ALUB-W,,2026-06-08 03:51:03.488256
ALV,10990000128.0,2026-06-08 03:51:03.488256
ALVO,562043008.0,2026-06-08 03:51:03.488256
ALVOW,562043008.0,2026-06-08 03:51:03.488256
ALX,211680000.0,2026-06-08 03:51:03.488256
ALXO,,2026-06-08 03:51:03.488256
ALZN,,2026-06-08 03:51:03.488256
AM,1285721984.0,2026-06-08 03:51:03.488256
AMAL,315968000.0,2026-06-08 03:51:03.488256
AMAN,,2026-06-08 03:51:03.488256
AMAT,29024000000.0,2026-06-08 03:51:03.488256
AMBA,405187008.0,2026-06-08 03:51:03.488256
AMBO,9954000.0,2026-06-08 03:51:03.488256
AMBP,5733000192.0,2026-06-08 03:51:03.488256
AMBQ,81842000.0,2026-06-08 03:51:03.488256
AMBR,61610000.0,2026-06-08 03:51:03.488256
AMC,5031799808.0,2026-06-08 03:51:03.488256
AMCI,5372938.0,2026-06-08 03:51:03.488256
AMCR,22190000128.0,2026-06-08 03:51:03.488256
AMCX,2298694912.0,2026-06-08 03:51:03.488256
AMD,37454000128.0,2026-06-08 03:51:03.488256
AME,7597581824.0,2026-06-08 03:51:03.488256
AMG,2122700032.0,2026-06-08 03:51:03.488256
AMGN,37219999744.0,2026-06-08 03:51:03.488256
AMH,1862982016.0,2026-06-08 03:51:03.488256
AMH$G,,2026-06-08 03:51:03.488256
AMH$H,,2026-06-08 03:51:03.488256
AMIX,,2026-06-08 03:51:03.488256
AMKR,7071107072.0,2026-06-08 03:51:03.488256
AMLX,,2026-06-08 03:51:03.488256
AMN,3419257088.0,2026-06-08 03:51:03.488256
AMOD,7138.0,2026-06-08 03:51:03.488256
AMODW,7138.0,2026-06-08 03:51:03.488256
AMP,19316000768.0,2026-06-08 03:51:03.488256
AMPG,26946276.0,2026-06-08 03:51:03.488256
AMPGR,26946276.0,2026-06-08 03:51:03.488256
AMPGZ,26946276.0,2026-06-08 03:51:03.488256
AMPH,720529984.0,2026-06-08 03:51:03.488256
AMPL,356752992.0,2026-06-08 03:51:03.488256
AMPX,90263000.0,2026-06-08 03:51:03.488256
AMPX-W,,2026-06-08 03:51:03.488256
AMPY,228775008.0,2026-06-08 03:51:03.488256
AMR,2122510976.0,2026-06-08 03:51:03.488256
AMRC,1980756992.0,2026-06-08 03:51:03.488256
AMRN,216760992.0,2026-06-08 03:51:03.488256
AMRX,3045859072.0,2026-06-08 03:51:03.488256
AMRZ,11911999488.0,2026-06-08 03:51:03.488256
AMS,29054000.0,2026-06-08 03:51:03.488256
AMSC,299155008.0,2026-06-08 03:51:03.488256
AMSF,324780000.0,2026-06-08 03:51:03.488256
AMSS,17838534.0,2026-06-08 03:51:03.488256
AMST,341437.0,2026-06-08 03:51:03.488256
AMT,10819300352.0,2026-06-08 03:51:03.488256
AMTB,399568992.0,2026-06-08 03:51:03.488256
AMTD,88473000.0,2026-06-08 03:51:03.488256
AMTM,14200999936.0,2026-06-08 03:51:03.488256
AMTX,219714000.0,2026-06-08 03:51:03.488256
AMUB,,2026-06-08 03:51:03.488256
AMWL,237375008.0,2026-06-08 03:51:03.488256
AMX,948444266496.0,2026-06-08 03:51:03.488256
AMZE,2375987.0,2026-06-08 03:51:03.488256
AMZN,742775980032.0,2026-06-08 03:51:03.488256
AN,27493099520.0,2026-06-08 03:51:03.488256
ANAB,232388000.0,2026-06-08 03:51:03.488256
ANDE,10977095680.0,2026-06-08 03:51:03.488256
ANDG,871371008.0,2026-06-08 03:51:03.488256
ANET,9709899776.0,2026-06-08 03:51:03.488256
ANF,5282802176.0,2026-06-08 03:51:03.488256
ANG$D,,2026-06-08 03:51:03.488256
ANGH,99304528.0,2026-06-08 03:51:03.488256
ANGHW,99304528.0,2026-06-08 03:51:03.488256
ANGI,1022771968.0,2026-06-08 03:51:03.488256
ANGO,313724992.0,2026-06-08 03:51:03.488256
ANGX,389222720.0,2026-06-08 03:51:03.488256
ANIK,116263000.0,2026-06-08 03:51:03.488256
ANIP,923705984.0,2026-06-08 03:51:03.488256
ANIX,,2026-06-08 03:51:03.488256
ANL,5000000.0,2026-06-08 03:51:03.488256
ANNA,33734656.0,2026-06-08 03:51:03.488256
ANNAW,33734656.0,2026-06-08 03:51:03.488256
ANNX,,2026-06-08 03:51:03.488256
ANPA,,2026-06-08 03:51:03.488256
ANRO,,2026-06-08 03:51:03.488256
ANSC,,2026-06-08 03:51:03.488256
ANSCU,,2026-06-08 03:51:03.488256
ANSCW,,2026-06-08 03:51:03.488256
ANTA,86805936.0,2026-06-08 03:51:03.488256
ANTX,,2026-06-08 03:51:03.488256
ANVS,,2026-06-08 03:51:03.488256
ANY,10280000.0,2026-06-08 03:51:03.488256
AOD,72632096.0,2026-06-08 03:51:03.488256
AOMD,,2026-06-08 03:51:03.488256
AOMN,,2026-06-08 03:51:03.488256
AOMR,35262000.0,2026-06-08 03:51:03.488256
AON,17486000128.0,2026-06-08 03:51:03.488256
AORT,458688992.0,2026-06-08 03:51:03.488256
AOS,3811899904.0,2026-06-08 03:51:03.488256
AOSL,685040000.0,2026-06-08 03:51:03.488256
AOUT,205419008.0,2026-06-08 03:51:03.488256
AP,438228000.0,2026-06-08 03:51:03.488256
APA,8370999808.0,2026-06-08 03:51:03.488256
APAC,,2026-06-08 03:51:03.488256
APACR,,2026-06-08 03:51:03.488256
APACU,,2026-06-08 03:51:03.488256
APAM,1222552960.0,2026-06-08 03:51:03.488256
APC,5578302976.0,2026-06-08 03:51:03.488256
APD,12463899648.0,2026-06-08 03:51:03.488256
APEI,659049024.0,2026-06-08 03:51:03.488256
APG,8174000128.0,2026-06-08 03:51:03.488256
APGE,,2026-06-08 03:51:03.488256
APH,25903800320.0,2026-06-08 03:51:03.488256
API,145532992.0,2026-06-08 03:51:03.488256
APLD,319262016.0,2026-06-08 03:51:03.488256
APLE,1422424960.0,2026-06-08 03:51:03.488256
APLM,8842000.0,2026-06-08 03:51:03.488256
APLMW,,2026-06-08 03:51:03.488256
APM,,2026-06-08 03:51:03.488256
APMCU,,2026-06-08 03:51:03.488256
APO,31286999040.0,2026-06-08 03:51:03.488256
APO$A,,2026-06-08 03:51:03.488256
APOG,1404733056.0,2026-06-08 03:51:03.488256
APOS,,2026-06-08 03:51:03.488256
APP,6164192256.0,2026-06-08 03:51:03.488256
APPF,995334016.0,2026-06-08 03:51:03.488256
APPN,762691008.0,2026-06-08 03:51:03.488256
APPS,565251008.0,2026-06-08 03:51:03.488256
APRE,123296.0,2026-06-08 03:51:03.488256
APT,59905000.0,2026-06-08 03:51:03.488256
