ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
MNST,Monster Beverage Corporation,73.0,A,3.8,6.3,0.0,0.0,0,-49.6,-47.7,Consumer Defensive,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,14.8,3.6,-51.6,9.22,,47.17,40.99,55.41,50.13043,1.33,False,40,1886.8,Sell 2026-08-21 $48 call ~$0.38 (97% ann.),Sell 2026-08-21 $46 put ~$0.22 (59% ann.)
RSI,"Rush Street Interactive, Inc.",72.5,A,36.4,42.8,0.0,-14.77,2,-13.1,-8.0,Consumer Cyclical,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,High,36.9,-1.5,-27.0,1.37,,25.2,23.19,27.89,36.0,1.34,False,124,3124.8,Sell 2026-08-21 $30 call ~$0.05 (24% ann.),Sell 2026-08-21 $25 put ~$0.38 (182% ann.)
PTRN,Pattern Group Inc. - Series A,69.5,B,20.1,33.5,0.5,-3.32,2,15.7,14.7,Technology,,no meaningful dip today,opportunity,high short interest (12%); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,38.9,-1.7,-25.0,3.01,,21.08,18.64,24.32,28.125,1.33,False,102,2150.16,Sell 2026-08-21 $22 call ~$0.28 (159% ann.),Sell 2026-08-21 $20 put ~$0.40 (243% ann.)
APP,Applovin Corporation,69.3,A,64.2,75.6,0.75,8.76,4,-39.7,-30.9,Communication Services,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); high beta (2.5); R:R 1.33 below 1.5 floor,Accumulate,High,29.8,-1.3,-26.7,6.83,,311.32,276.74,357.42,546.5806,1.33,False,7,2179.24,Sell 2026-08-21 $312 call ~$6.85 (268% ann.),Sell 2026-08-21 $310 put ~$5.95 (234% ann.)
AAON,"AAON, Inc.",66.7,B,28.5,71.2,0.2,-9.47,5,-42.5,-44.4,Industrials,,"down -4.9% with upside signals, but history is against it (bounced only 20% of 5 dips)",opportunity,negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Low,33.2,-4.9,-26.1,1.93,,83.54,74.0,96.26,143.0,1.33,False,26,2172.04,Sell 2026-08-21 $85 call ~$2.33 (339% ann.),Sell 2026-08-21 $80 put ~$1.02 (156% ann.)
CHRW,"C.H. Robinson Worldwide, Inc.",66.2,A,22.4,37.4,1.0,1.12,1,-23.4,-25.4,Industrials,moderate,down -2.1% today; 37% upside to target; limited dip history,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,32.5,-2.1,-29.3,17.0,,145.44,135.72,158.4,199.84,1.33,False,25,3636.0,Sell 2026-08-21 $150 call ~$0.70 (59% ann.),Sell 2026-08-21 $145 put ~$2.12 (178% ann.)
BROS,Dutch Bros Inc.,65.6,B,36.1,60.2,1.0,3.67,1,-13.8,-8.7,Consumer Cyclical,moderate,down -4.2% today; 60% upside to target; limited dip history,opportunity,high short interest (33%); near 52-week low (support test / falling knife); high beta (2.3); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,28.9,-4.2,-24.8,1.88,,49.82,45.46,55.64,79.79167,1.33,False,57,2839.74,Sell 2026-08-21 $50 call ~$0.65 (159% ann.),Sell 2026-08-21 $50 put ~$0.77 (190% ann.)
LII,"Lennox International, Inc.",64.1,A,14.6,24.3,0.0,-2.72,1,-21.8,-23.7,Industrials,moderate,down -2.5% today; 24% upside to target; limited dip history,opportunity,near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,30.0,-2.5,-25.0,5.3,,411.35,383.57,448.39,511.15384,1.33,False,8,3290.8,Sell 2026-08-21 $420 call ~$3.85 (114% ann.),Sell 2026-08-21 $410 put ~$5.10 (151% ann.)
TTD,"The Trade Desk, Inc.",63.5,A,-0.8,-2.0,0.429,-0.18,7,-39.3,-30.5,Communication Services,,"down -3.4% but no upside signal (below EMA200, <10% target upside)",opportunity,high short interest (21%); near 52-week low (support test / falling knife); trades above analyst target; R:R 1.34 below 1.5 floor,Accumulate,Low,32.7,-3.4,-26.7,2.99,,13.65,11.98,15.89,13.38667,1.34,False,149,2033.85,Sell 2026-08-21 $14 call ~$0.17 (147% ann.),Sell 2026-08-21 $14 put ~$0.26 (234% ann.)
ALHC,"Alignment Healthcare, Inc.",62.9,A,66.1,77.8,0.667,9.51,6,-22.9,-36.3,Healthcare,strong,down -3.0% today; 78% upside to target; historically bounced 67% of 6 similar dips (avg +9.5%),opportunity,high short interest (11%); near 52-week low (support test / falling knife); strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,High,32.7,-3.0,-35.8,4.58,,13.55,11.97,15.65,24.07692,1.33,False,158,2140.9,Sell 2026-08-21 $15 call ~$0.03 (22% ann.),Sell 2026-08-21 $12 put ~$0.05 (49% ann.)
