ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
RSI,"Rush Street Interactive, Inc.",76.2,A,38.8,45.6,0.5,8.33,2,-15.6,-10.5,Consumer Cyclical,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,33.1,1.8,-24.6,1.37,,24.73,22.61,27.55,36.0,1.33,False,117,2893.41,Sell 2026-08-21 $25 call ~$0.50 (92% ann.),Sell 2026-08-21 $22 put ~$0.55 (112% ann.)
APP,Applovin Corporation,69.3,A,66.6,78.3,0.75,8.76,4,-41.3,-33.1,Communication Services,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); high beta (2.5); strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,High,29.8,3.2,-27.8,6.83,,313.48,275.59,364.01,559.0,1.33,False,6,1880.88,Sell 2026-08-14 $315 call ~$3.90 (454% ann.),Sell 2026-08-14 $312 put ~$3.85 (450% ann.)
MNST,Monster Beverage Corporation,67.6,A,2.3,3.9,0.0,0.0,0,-51.1,-48.1,Consumer Defensive,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,12.3,2.0,-52.0,9.22,,46.88,39.65,56.53,48.69565,1.33,False,34,1593.92,Sell 2026-08-21 $65 call ~$0.07 (7% ann.),
RBA,"RB Global, Inc.",65.5,A,30.2,50.3,0.0,0.0,0,-21.3,-23.5,Industrials,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,23.9,-0.8,-24.2,4.85,,85.75,80.06,93.33,128.90909,1.33,False,43,3687.25,Sell 2026-08-21 $90 call ~$1.20 (64% ann.),
CVLG,"Covenant Logistics Group, Inc.",64.3,D,28.3,49.5,1.0,11.73,1,-5.5,-7.7,Industrials,,no meaningful dip today,opportunity,negative free cash flow; small cap (thinner liquidity); golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,Medium,33.1,2.7,-27.4,1.23,,35.01,32.36,38.55,52.33333,1.34,False,94,3290.94,Sell 2026-08-21 $40 call ~$0.33 (42% ann.),Sell 2026-08-21 $35 put ~$0.57 (75% ann.)
LII,"Lennox International, Inc.",64.1,A,13.0,21.7,0.0,-2.12,1,-22.0,-24.2,Industrials,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,30.9,-0.2,-23.8,5.3,,420.16,391.13,458.87,511.15384,1.33,False,8,3361.28,Sell 2026-08-21 $430 call ~$4.80 (52% ann.),Sell 2026-08-21 $420 put ~$7.55 (82% ann.)
TTD,"The Trade Desk, Inc.",63.5,A,-0.9,-2.2,0.429,-0.18,7,-42.4,-34.2,Communication Services,,no meaningful dip today,opportunity,high short interest (21%); near 52-week low (support test / falling knife); trades above analyst target; R:R 1.33 below 1.5 floor,Accumulate,Low,31.7,3.3,-27.1,2.99,,13.93,12.22,16.21,13.62,1.33,False,146,2033.78,Sell 2026-08-14 $14 call ~$0.18 (485% ann.),Sell 2026-08-14 $14 put ~$0.06 (149% ann.)
ARKO,ARKO Corp.,63.3,C,39.5,98.7,0.333,2.61,3,-40.6,-35.5,Consumer Cyclical,,no meaningful dip today,opportunity,high leverage (D/E 409%); small cap (thinner liquidity); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Low,18.5,1.6,-42.9,6.89,,4.53,3.89,5.38,9.0,1.33,False,390,1766.7,Sell 2026-08-21 $5 call ~$0.33 (327% ann.),Sell 2026-08-21 $2 put ~$0.07 (137% ann.)
ALHC,"Alignment Healthcare, Inc.",62.9,A,65.1,76.6,0.8,12.61,5,-21.2,-31.9,Healthcare,,no meaningful dip today,opportunity,high short interest (11%); near 52-week low (support test / falling knife); strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,High,31.5,0.8,-32.0,4.58,,13.63,11.96,15.85,24.07692,1.33,False,149,2030.87,Sell 2026-08-21 $15 call ~$0.10 (33% ann.),Sell 2026-08-21 $12 put ~$0.15 (55% ann.)
TREE,"LendingTree, Inc.",62.6,A,44.8,74.7,0.0,-10.08,2,-16.5,-25.4,Financial Services,,no meaningful dip today,opportunity,high short interest (12%); near 52-week low (support test / falling knife); small cap (thinner liquidity); high beta (2.1); strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,Medium,33.4,1.3,-31.6,1.27,,32.06,28.98,36.16,56.0,1.33,False,81,2596.86,Sell 2026-08-21 $35 call ~$0.38 (53% ann.),Sell 2026-08-21 $30 put ~$0.30 (46% ann.)
