ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
GFS,GlobalFoundries Inc.,69.0,B,24.2,60.5,0.333,-4.54,3,-39.7,-46.0,Technology,,"down -4.4% with upside signals, but history is against it (bounced only 33% of 3 dips)",opportunity,high short interest (16%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Low,32.6,-4.4,-26.8,6.84,,49.74,43.79,57.68,79.85714,1.33,False,42.0,2089.08,Sell 2026-08-21 $50 call ~$3.40 (156% ann.),Sell 2026-08-21 $45 put ~$1.32 (67% ann.)
ASTH,Astrana Health Inc.,68.8,B,31.9,37.5,0.667,6.47,6,-15.6,-22.1,Healthcare,,no meaningful dip today,opportunity,earnings in 1d; high short interest (10%); small cap (thinner liquidity); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,30.5,0.6,-22.5,3.53,,35.88,32.93,39.81,49.33333,1.33,False,84.0,3013.92,Sell 2026-08-21 $40 call ~$1.65 (105% ann.),Sell 2026-08-21 $35 put ~$2.70 (176% ann.)
PENG,"Penguin Solutions, Inc.",67.8,C,18.3,30.4,1.0,4.43,1,21.9,15.5,Technology,,no meaningful dip today,opportunity,high short interest (27%); negative free cash flow; high beta (2.9); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,48.2,-1.5,-27.4,1.5,,56.95,46.92,70.32,74.28571,1.33,False,24.0,1366.8,Sell 2026-08-21 $60 call ~$4.30 (172% ann.),Sell 2026-08-21 $55 put ~$4.55 (189% ann.)
STM,STMicroelectronics N.V.,67.8,A,21.1,35.2,0.5,0.79,2,-17.4,-23.7,Technology,moderate,down -2.5% today; uptrend intact (above EMA200); 35% upside to target; limited dip history,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,39.2,-2.5,-22.8,13.1,,52.89,47.24,60.43,71.51538,1.33,False,44.0,2327.16,Sell 2026-08-07 $53 call ~$1.35 (466% ann.),Sell 2026-08-07 $52 put ~$0.93 (325% ann.)
ALHC,"Alignment Healthcare, Inc.",65.0,A,64.9,76.4,0.833,15.08,6,-30.8,-37.3,Healthcare,,no meaningful dip today,opportunity,high short interest (12%); near 52-week low (support test / falling knife); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,25.5,1.0,-31.9,4.58,,13.65,11.64,16.33,24.07692,1.33,False,124.0,1692.6,Sell 2026-08-21 $15 call ~$0.25 (42% ann.),Sell 2026-08-21 $12 put ~$0.30 (55% ann.)
CRTO,Criteo S.A.,64.7,B,37.3,62.1,0.0,0.0,0,-4.0,7.1,Communication Services,moderate,down -24.3% today; 62% upside to target; limited dip history,opportunity,near 52-week low (support test / falling knife); small cap (thinner liquidity); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,33.8,-24.3,-25.7,1.92,,16.96,14.97,19.61,27.5,1.33,False,125.0,2120.0,Sell 2026-08-21 $18 call ~$0.43 (57% ann.),Sell 2026-08-21 $15 put ~$0.12 (19% ann.)
TDC,Teradata Corporation,64.7,A,17.8,29.7,1.0,9.7,1,-19.9,-26.2,Technology,moderate,down -20.1% today; 30% upside to target; limited dip history,opportunity,high short interest (26%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,39.1,-20.1,-21.9,1.69,,27.48,24.4,31.57,35.625,1.33,False,81.0,2225.88,Sell 2026-08-21 $28 call ~$1.32 (110% ann.),Sell 2026-08-21 $25 put ~$0.35 (32% ann.)
ADTN,"ADTRAN Holdings, Inc.",63.8,C,52.2,130.4,0.333,-4.22,3,-53.1,-59.5,Technology,,"down -8.3% with upside signals, but history is against it (bounced only 33% of 3 dips)",opportunity,high short interest (18%); small cap (thinner liquidity); golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,Low,24.8,-8.3,-37.6,1.12,,8.03,6.84,9.62,18.5,1.34,False,210.0,1686.3,Sell 2026-08-21 $9 call ~$0.28 (78% ann.),Sell 2026-08-21 $8 put ~$0.55 (157% ann.)
ALNY,"Alnylam Pharmaceuticals, Inc.",62.9,A,57.0,67.1,1.0,4.14,3,-29.8,-36.3,Healthcare,,no meaningful dip today,opportunity,R:R 1.33 below 1.5 floor,Accumulate,High,35.3,3.9,-29.7,4.8,,227.49,203.6,259.34,380.125,1.33,False,10.0,2274.9,Sell 2026-08-21 $230 call ~$6.90 (69% ann.),Sell 2026-08-21 $220 put ~$4.70 (49% ann.)
TBLA,Taboola.com Ltd.,62.9,B,28.3,47.2,1.0,7.4,2,-31.9,-20.8,Communication Services,moderate,down -25.6% today; 47% upside to target; limited dip history,opportunity,small cap (thinner liquidity); golden-cross regime; R:R 1.35 below 1.5 floor,Accumulate,Medium,29.4,-25.6,-27.5,1.95,,3.93,3.45,4.58,5.79167,1.35,False,520.0,2043.6,Sell 2026-08-21 $5 call ~$0.05 (29% ann.),Sell 2026-08-21 $2 put ~$0.03 (23% ann.)
