ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
APP,Applovin Corporation,75.2,A,61.6,72.5,0.6,5.4,5,-52.4,-47.9,Communication Services,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); high beta (2.5); R:R 1.33 below 1.5 floor,Buy,High,31.4,2.2,-27.0,6.83,,305.14,276.96,342.71,526.3871,1.33,False,8,2441.12,Sell 2026-08-28 $308 call ~$5.65 (225% ann.),Sell 2026-08-28 $305 put ~$6.50 (259% ann.)
DVA,DaVita Inc.,72.3,B,20.2,23.8,1.0,3.57,1,-11.4,-27.8,Healthcare,,no meaningful dip today,opportunity,high short interest (13%); high leverage (D/E 1242%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,28.2,-0.0,-26.3,14.01,,176.44,167.04,188.98,218.42857,1.33,False,26,4587.44,Sell 2026-09-18 $180 call ~$3.95 (34% ann.),Sell 2026-09-18 $175 put ~$4.75 (41% ann.)
RBA,"RB Global, Inc.",70.9,A,32.4,53.9,0.0,0.0,0,-23.4,-24.2,Industrials,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,29.2,-0.4,-28.2,4.85,,83.74,78.75,90.39,128.90909,1.33,False,50,4187.0,Sell 2026-09-18 $85 call ~$2.25 (41% ann.),Sell 2026-09-18 $80 put ~$1.58 (30% ann.)
IESC,"IES Holdings, Inc.",70.7,A,21.4,35.6,0.5,16.91,2,-55.7,-56.6,Industrials,moderate,down -52.6% today; 36% upside to target; limited dip history,opportunity,high short interest (10%); near 52-week low (support test / falling knife); high beta (1.8); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,23.7,-52.6,-46.2,3.99,,324.43,254.63,417.49,440.0,1.33,False,3,973.29,Sell 2026-09-18 $325 call ~$23.60 (111% ann.),Sell 2026-09-18 $320 put ~$19.60 (93% ann.)
DKS,Dick's Sporting Goods Inc,69.5,C,54.7,91.2,0.0,0.0,0,-44.4,-41.1,Consumer Cyclical,moderate,down -27.1% today; 91% upside to target; limited dip history,opportunity,high short interest (15%); near 52-week low (support test / falling knife); negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,16.3,-27.1,-38.2,19.2,,130.73,115.06,151.62,249.90909,1.33,False,15,1960.95,Sell 2026-09-18 $135 call ~$4.45 (52% ann.),Sell 2026-09-18 $130 put ~$4.85 (57% ann.)
EXTR,"Extreme Networks, Inc.",68.3,B,19.2,48.0,0.0,-6.01,4,-16.7,-12.7,Technology,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,Low,34.0,1.2,-24.5,1.28,,22.64,20.76,25.15,33.5,1.34,False,132,2988.48,Sell 2026-09-18 $23 call ~$1.00 (67% ann.),Sell 2026-09-18 $22 put ~$0.78 (54% ann.)
APTV,Aptiv PLC,66.7,B,26.5,44.1,1.0,8.0,1,-34.1,-30.8,Consumer Cyclical,moderate,down -2.3% today; 44% upside to target; limited dip history,opportunity,near 52-week low (support test / falling knife); R:R 1.33 below 1.5 floor,Accumulate,Medium,33.6,-2.3,-22.2,20.52,,46.23,43.26,50.19,66.61111,1.33,False,84,3883.32,Sell 2026-09-18 $48 call ~$1.55 (51% ann.),Sell 2026-09-18 $45 put ~$1.30 (44% ann.)
MNST,Monster Beverage Corporation,65.9,A,1.1,2.7,1.0,96.02,1,-46.5,-48.5,Consumer Defensive,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Low,42.9,0.1,-48.6,9.22,,48.97,35.41,67.04,50.28261,1.33,False,18,881.46,Sell 2026-09-18 $50 call ~$0.75 (23% ann.),Sell 2026-09-18 $49 put ~$1.00 (31% ann.)
ALHC,"Alignment Healthcare, Inc.",65.9,A,67.9,79.9,0.667,9.51,6,-14.8,-31.2,Healthcare,,no meaningful dip today,opportunity,high short interest (11%); near 52-week low (support test / falling knife); strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,High,35.5,-0.3,-27.4,4.58,,13.39,12.1,15.1,24.07692,1.33,False,193,2584.27,Sell 2026-09-18 $15 call ~$0.22 (26% ann.),Sell 2026-09-18 $12 put ~$0.42 (52% ann.)
TREE,"LendingTree, Inc.",65.0,A,32.3,80.6,0.333,-5.51,3,-21.0,-31.3,Financial Services,,no meaningful dip today,opportunity,high short interest (12%); near 52-week low (support test / falling knife); small cap (thinner liquidity); high beta (2.1); R:R 1.34 below 1.5 floor,Accumulate,Low,33.6,0.1,-24.4,1.27,,31.0,28.68,34.1,56.0,1.34,False,107,3317.0,Sell 2026-09-18 $35 call ~$0.45 (22% ann.),Sell 2026-09-18 $30 put ~$1.10 (56% ann.)
