ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
ACAD,ACADIA Pharmaceuticals Inc.,73.5,A,29.4,49.0,0.0,-10.96,1,-14.5,-21.1,Healthcare,moderate,down -10.6% today; 49% upside to target; limited dip history,opportunity,golden-cross regime,Accumulate,Medium,22.2,-10.6,-25.6,1.14,,22.75,21.13,24.9,33.89474,6.88,True,154,3503.5,Sell 2026-10-16 $23 call ~$1.40 (102% ann.),Sell 2026-10-16 $22 put ~$0.85 (64% ann.)
RSI,"Rush Street Interactive, Inc.",73.4,A,33.5,83.8,0.333,5.3,3,-42.5,-34.0,Consumer Cyclical,,"down -5.2% with upside signals, but history is against it (bounced only 33% of 3 dips)",opportunity,strong-buy consensus; golden-cross regime,Accumulate,Low,17.7,-5.2,-25.1,1.37,,19.5,17.59,22.04,35.83333,8.55,True,130,2535.0,Sell 2026-10-16 $20 call ~$1.60 (136% ann.),Sell 2026-10-16 $18 put ~$0.35 (33% ann.)
QNST,"QuinStreet, Inc.",71.6,A,35.6,59.3,0.5,6.4,2,-6.4,-9.0,Communication Services,,no meaningful dip today,opportunity,high short interest (12%); small cap (thinner liquidity); strong-buy consensus; golden-cross regime,Accumulate,Medium,23.6,0.2,-28.8,1.29,,14.31,12.98,16.08,22.8,6.38,True,187,2675.97,Sell 2026-10-16 $15 call ~$0.33 (38% ann.),
KGC,Kinross Gold Corporation,71.0,A,29.8,49.6,1.0,1.61,1,-3.1,4.1,Basic Materials,moderate,down -12.6% today; 50% upside to target; limited dip history,opportunity,near 52-week low (support test),Accumulate,Medium,29.9,-12.6,-27.9,8.47,,24.15,22.23,26.7,36.13,6.24,True,130,3139.5,Sell 2026-09-25 $24 call ~$0.26 (393% ann.),Sell 2026-09-25 $24 put ~$0.21 (312% ann.)
BKNG,Booking Holdings Inc. Common St,70.8,A,31.3,52.2,1.0,15.12,1,-16.5,-8.0,Consumer Cyclical,,no meaningful dip today,opportunity,near 52-week low (support test); golden-cross regime,Accumulate,Medium,23.2,0.6,-24.7,28.24,,156.91,147.03,170.09,238.78378,8.29,True,25,3922.75,Sell 2026-09-25 $160 call ~$0.57 (134% ann.),Sell 2026-09-25 $155 put ~$1.27 (300% ann.)
FRPT,"Freshpet, Inc.",70.2,A,37.8,44.5,0.75,0.77,4,-8.6,-1.8,Consumer Defensive,,no meaningful dip today,opportunity,high short interest (19%); golden-cross regime,Accumulate,High,25.4,-1.5,-22.7,1.18,,58.31,54.65,63.19,84.25,7.09,True,68,3965.08,Sell 2026-10-16 $60 call ~$2.48 (70% ann.),Sell 2026-10-16 $55 put ~$1.20 (36% ann.)
MGM,MGM Resorts International,69.8,B,30.5,50.9,0.0,0.0,0,-37.2,-28.7,Consumer Cyclical,moderate,down -11.3% today; 51% upside to target; limited dip history,opportunity,high short interest (16%); high leverage (D/E 893%); golden-cross regime,Accumulate,Medium,15.4,-11.3,-22.6,17.76,,33.56,31.81,35.9,50.62778,9.75,True,142,4765.52,Sell 2026-10-16 $35 call ~$0.68 (33% ann.),Sell 2026-10-16 $33 put ~$0.85 (43% ann.)
PAY,"Paymentus Holdings, Inc.",69.4,A,28.0,33.0,0.667,5.28,3,21.0,19.5,Technology,,no meaningful dip today,opportunity,golden-cross regime,Accumulate,High,31.6,0.8,-23.3,1.36,,30.19,27.46,33.84,40.14286,3.65,True,91,2747.29,Sell 2026-10-16 $32 call ~$0.62 (34% ann.),Sell 2026-10-16 $30 put ~$1.40 (77% ann.)
EXPE,"Expedia Group, Inc.",67.0,A,18.7,31.2,1.0,1.83,2,-7.2,1.2,Consumer Cyclical,,no meaningful dip today,opportunity,golden-cross regime,Accumulate,Medium,32.2,-0.3,-23.5,15.7,,258.27,239.79,282.91,338.83334,4.36,True,13,3357.51,Sell 2026-09-25 $260 call ~$3.33 (470% ann.),Sell 2026-09-25 $258 put ~$3.75 (532% ann.)
FICO,Fair Isaac Corporation,66.3,A,39.5,65.9,0.5,5.23,2,-31.3,-32.8,Technology,,no meaningful dip today,opportunity,high short interest (10%); near 52-week low (support test),Accumulate,Medium,29.2,-1.7,-23.9,2.39,,865.01,793.44,960.43,1434.8932,7.96,True,3,2595.03,Sell 2026-10-16 $870 call ~$45.95 (88% ann.),Sell 2026-10-16 $860 put ~$37.80 (73% ann.)
ENVA,"Enova International, Inc.",66.2,B,24.4,40.6,1.0,13.75,1,-32.0,-29.6,Financial Services,,no meaningful dip today,opportunity,high short interest (10%); high leverage (D/E 337%); strong-buy consensus; golden-cross regime,Accumulate,Medium,26.1,1.8,-29.6,1.69,,171.35,157.7,189.55,241.0,5.1,True,18,3084.3,Sell 2026-10-16 $175 call ~$5.10 (49% ann.),Sell 2026-10-16 $170 put ~$5.45 (53% ann.)
PATH,"UiPath, Inc.",64.5,A,17.6,29.3,0.5,1.66,4,11.4,9.9,Technology,moderate,down -3.2% today; 29% upside to target; bounce history mixed (50% of 4),opportunity,high short interest (26%); golden-cross regime,Accumulate,Medium,35.2,-3.2,-24.7,1.72,,12.62,11.37,14.3,16.32235,2.96,True,200,2524.0,Sell 2026-09-25 $13 call ~$0.06 (173% ann.),Sell 2026-09-25 $12 put ~$0.10 (292% ann.)
CASY,"Caseys General Stores, Inc.",64.2,A,18.8,31.3,0.0,-4.43,1,-27.5,-19.1,Consumer Cyclical,,no meaningful dip today,opportunity,golden-cross regime,Accumulate,Medium,28.2,0.8,-27.0,18.67,,601.99,561.22,656.36,790.5263,4.62,True,6,3611.94,Sell 2026-10-16 $610 call ~$16.15 (45% ann.),Sell 2026-10-16 $600 put ~$18.15 (50% ann.)
MMYT,MakeMyTrip Limited,64.0,B,37.0,61.7,0.4,1.61,5,-18.2,-9.8,Consumer Cyclical,,no meaningful dip today,opportunity,high short interest (14%); strong-buy consensus; golden-cross regime,Accumulate,Medium,26.5,-0.4,-22.9,1.06,,46.62,43.38,50.95,75.4,8.88,True,77,3589.74,Sell 2026-10-16 $50 call ~$1.48 (52% ann.),Sell 2026-10-16 $45 put ~$1.70 (63% ann.)
SFM,"Sprouts Farmers Market, Inc.",63.3,B,26.3,43.8,1.0,5.75,1,-24.0,-17.2,Consumer Defensive,,no meaningful dip today,opportunity,high short interest (15%); near 52-week low (support test); golden-cross regime,Accumulate,Medium,30.2,0.0,-23.1,9.0,,66.08,61.34,72.4,95.0,6.1,True,52,3436.16,Sell 2026-10-16 $70 call ~$1.30 (33% ann.),Sell 2026-10-16 $65 put ~$2.12 (54% ann.)
AGL,"agilon health, inc.",62.9,F,22.2,62.1,0.375,-1.11,16,-41.5,-48.1,Healthcare,,"down -13.9% with upside signals, but history is against it (bounced only 38% of 16 dips)",opportunity,high short interest (10%); negative free cash flow; small cap (thinner liquidity); high beta (3.0); golden-cross regime,Accumulate,Low,27.3,-13.9,-24.2,5.92,,72.84,63.06,85.87,118.07692,4.63,True,25,1821.0,Sell 2026-10-16 $75 call ~$4.85 (110% ann.),Sell 2026-10-16 $70 put ~$3.80 (90% ann.)
EIX,Edison International,62.7,B,15.2,25.4,0.5,-5.05,2,-33.8,-16.4,Utilities,,no meaningful dip today,opportunity,near 52-week low (support test); golden-cross regime,Accumulate,Medium,30.7,-1.1,-29.2,19.42,,52.91,49.18,57.88,66.35714,3.61,True,67,3544.97,Sell 2026-10-16 $55 call ~$0.75 (24% ann.),Sell 2026-10-16 $52 put ~$1.85 (58% ann.)
BROS,Dutch Bros Inc.,62.4,B,57.8,96.3,0.5,-3.5,2,-51.3,-42.8,Consumer Cyclical,,no meaningful dip today,opportunity,high short interest (42%); near 52-week low (support test); high beta (2.3); strong-buy consensus,Accumulate,Medium,21.3,-0.3,-25.0,1.88,,38.3,35.53,42.0,75.19231,13.32,True,90,3447.0,Sell 2026-09-25 $38 call ~$0.40 (381% ann.),Sell 2026-09-25 $38 put ~$0.30 (288% ann.)
YELP,Yelp Inc.,61.9,A,23.3,38.8,1.0,7.94,2,-31.3,-33.9,Communication Services,,no meaningful dip today,opportunity,high short interest (28%); near 52-week low (support test); small cap (thinner liquidity),Accumulate,Medium,27.0,2.1,-23.6,1.47,,18.1,16.71,19.95,25.125,5.05,True,179,3239.9,Sell 2026-10-16 $19 call ~$0.42 (39% ann.),Sell 2026-10-16 $18 put ~$0.82 (76% ann.)
