ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
BURL,"Burlington Stores, Inc.",75.5,A,24.3,40.4,0.0,0.0,0,-20.7,-18.2,Consumer Cyclical,moderate,down -4.8% today; 40% upside to target; limited dip history,opportunity,near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Buy,Medium,15.8,-4.8,-29.5,12.21,,259.74,240.62,285.24,364.75,1.33,False,13,3376.62,Sell 2026-09-04 $265 call ~$2.42 (85% ann.),Sell 2026-09-04 $255 put ~$3.10 (111% ann.)
STRL,"Sterling Infrastructure, Inc.",75.3,A,34.5,86.4,0.333,5.79,3,-54.1,-54.5,Industrials,,no meaningful dip today,opportunity,high beta (1.9); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,Low,34.8,-0.1,-23.1,3.44,,470.07,414.52,544.14,876.0,1.33,False,4,1880.28,Sell 2026-09-18 $480 call ~$22.15 (96% ann.),Sell 2026-09-18 $470 put ~$25.95 (112% ann.)
AGX,"Argan, Inc.",74.3,A,34.3,57.1,0.5,-5.87,2,-39.7,-40.1,Industrials,,no meaningful dip today,opportunity,earnings in 1d; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,29.1,1.7,-28.3,1.04,,424.99,374.91,491.76,667.8,1.33,False,4,1699.96,Sell 2026-09-18 $430 call ~$34.50 (165% ann.),Sell 2026-09-18 $420 put ~$35.35 (171% ann.)
DVA,DaVita Inc.,74.0,B,20.5,24.1,1.0,3.57,1,-9.8,-24.3,Healthcare,moderate,down -2.6% today; uptrend intact (above EMA200); 24% upside to target; limited dip history,opportunity,high short interest (12%); high leverage (D/E 1242%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,31.8,-2.6,-24.7,14.01,,176.01,166.94,188.11,218.42857,1.33,False,27,4752.27,Sell 2026-09-18 $180 call ~$3.15 (36% ann.),Sell 2026-09-18 $175 put ~$3.70 (43% ann.)
DY,"Dycom Industries, Inc.",73.0,B,90.8,106.8,1.0,8.27,3,-41.8,-42.3,Industrials,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,22.5,-1.1,-29.9,6.88,,291.1,260.06,332.48,602.0909,1.33,False,8,2328.8,Sell 2026-09-18 $300 call ~$9.00 (63% ann.),Sell 2026-09-18 $290 put ~$12.50 (87% ann.)
IESC,"IES Holdings, Inc.",72.1,A,27.1,45.2,0.5,16.91,2,-59.6,-60.0,Industrials,moderate,down -2.2% today; 45% upside to target; limited dip history,opportunity,near 52-week low (support test / falling knife); high beta (1.8); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,24.4,-2.2,-59.3,3.99,,303.0,243.0,383.0,440.0,1.33,False,4,1212.0,Sell 2026-09-18 $310 call ~$11.60 (78% ann.),Sell 2026-09-18 $300 put ~$13.75 (93% ann.)
RBA,"RB Global, Inc.",71.5,A,31.4,52.4,0.0,0.0,0,-20.9,-21.4,Industrials,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); R:R 1.33 below 1.5 floor,Accumulate,Medium,32.9,-1.7,-24.3,4.85,,84.59,80.14,90.52,128.90909,1.33,False,56,4737.04,Sell 2026-09-18 $85 call ~$2.60 (62% ann.),Sell 2026-09-18 $82 put ~$2.08 (51% ann.)
APP,Applovin Corporation,71.0,A,57.3,67.4,0.6,5.4,5,-45.5,-40.8,Communication Services,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); high beta (2.5); R:R 1.33 below 1.5 floor,Accumulate,High,36.1,-1.8,-23.2,6.83,,312.06,285.5,347.48,522.29034,1.33,False,9,2808.54,Sell 2026-09-04 $312 call ~$7.20 (211% ann.),Sell 2026-09-04 $310 put ~$6.05 (178% ann.)
BROS,Dutch Bros Inc.,70.5,B,35.5,59.1,1.0,3.67,1,-14.0,-11.5,Consumer Cyclical,moderate,down -2.1% today; 59% upside to target; limited dip history,opportunity,high short interest (35%); near 52-week low (support test / falling knife); high beta (2.3); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,33.6,-2.1,-24.8,1.88,,48.86,45.45,53.41,77.76,1.33,False,73,3566.78,Sell 2026-09-04 $49 call ~$0.77 (145% ann.),Sell 2026-09-04 $48 put ~$0.65 (122% ann.)
RRX,Regal Rexnord Corporation,69.8,B,34.3,57.2,0.5,3.88,2,-27.2,-27.6,Industrials,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,31.2,0.6,-25.0,6.06,,158.44,146.95,173.77,249.0,1.33,False,21,3327.24,Sell 2026-09-18 $160 call ~$5.85 (75% ann.),Sell 2026-09-18 $155 put ~$4.75 (62% ann.)
