ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
CRDO,Credo Technology Group Holding ,76.0,A,53.8,63.3,0.8,19.21,5,-33.0,-32.2,Technology,,no meaningful dip today,opportunity,high beta (3.2); strong-buy consensus; golden-cross regime,Buy,High,34.0,3.6,-31.9,1.59,,170.12,141.25,208.61,277.81342,3.73,True,8,1360.96,Sell 2026-09-04 $175 call ~$0.73 (156% ann.),Sell 2026-09-04 $170 put ~$1.67 (360% ann.)
APH,Amphenol Corporation,75.3,A,9.6,16.0,0.0,0.0,0,-44.9,-44.0,Technology,moderate,down -47.8% today; 16% upside to target; limited dip history,opportunity,near 52-week low (support test); strong-buy consensus; golden-cross regime,Buy,Medium,16.3,-47.8,-51.6,29.01,,82.84,74.76,93.62,96.05882,1.64,True,30,2485.2,Sell 2026-09-18 $85 call ~$1.57 (50% ann.),Sell 2026-09-18 $80 put ~$1.30 (42% ann.)
AGX,"Argan, Inc.",73.5,A,36.8,61.3,0.5,-5.87,2,-34.3,-30.3,Industrials,,no meaningful dip today,opportunity,golden-cross regime,Accumulate,Medium,29.6,0.5,-30.7,1.19,,413.95,368.03,475.18,667.8,5.53,True,5,2069.75,Sell 2026-09-18 $420 call ~$21.40 (135% ann.),Sell 2026-09-18 $410 put ~$18.05 (115% ann.)
CIEN,Ciena Corporation,73.5,A,62.3,73.4,0.667,3.99,3,-31.4,-30.5,Technology,,no meaningful dip today,opportunity,golden-cross regime,Accumulate,High,33.1,0.3,-22.8,5.57,,318.35,278.93,370.91,551.86456,5.92,True,6,1910.1,Sell 2026-09-04 $320 call ~$4.15 (476% ann.),Sell 2026-09-04 $318 put ~$1.15 (132% ann.)
BURL,"Burlington Stores, Inc.",72.5,A,22.6,37.7,0.0,0.0,0,-23.6,-19.1,Consumer Cyclical,,no meaningful dip today,opportunity,golden-cross regime,Accumulate,Medium,23.7,2.5,-28.2,12.21,,264.96,247.38,288.41,364.75,5.68,True,14,3709.44,Sell 2026-09-04 $265 call ~$1.12 (155% ann.),Sell 2026-09-04 $260 put ~$0.15 (21% ann.)
YETI,"YETI Holdings, Inc.",72.3,A,19.1,31.8,1.0,3.98,1,-18.9,-14.4,Consumer Cyclical,,no meaningful dip today,opportunity,high short interest (14%); golden-cross regime,Accumulate,Medium,33.0,-0.1,-20.7,1.94,,41.37,39.09,44.41,54.53333,5.77,True,109,4509.33,Sell 2026-09-18 $42 call ~$0.65 (41% ann.),Sell 2026-09-18 $40 put ~$0.65 (42% ann.)
AS,"Amer Sports, Inc.",71.1,A,60.2,70.8,0.667,6.55,3,-17.6,-13.0,Consumer Cyclical,,no meaningful dip today,opportunity,near 52-week low (support test); high beta (2.0); strong-buy consensus,Accumulate,High,34.4,3.1,-20.2,7.44,,29.39,27.63,31.74,50.21091,11.83,True,142,4173.38,Sell 2026-09-04 $30 call ~$0.03 (31% ann.),Sell 2026-09-04 $29 put ~$0.15 (189% ann.)
DY,"Dycom Industries, Inc.",71.0,B,68.8,80.9,1.0,8.27,3,-37.5,-33.5,Industrials,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime,Accumulate,High,28.3,1.3,-26.6,6.88,,299.42,272.87,334.81,541.7273,9.13,True,9,2694.78,Sell 2026-09-18 $300 call ~$10.45 (91% ann.),Sell 2026-09-18 $290 put ~$5.55 (50% ann.)
VSXY,Victorias Secret & Co.,70.7,C,16.5,27.5,0.5,-2.38,6,-4.7,-0.2,Consumer Cyclical,,no meaningful dip today,opportunity,high short interest (18%); high leverage (D/E 337%); high beta (2.1); golden-cross regime,Accumulate,Medium,32.5,0.7,-24.7,6.91,,74.17,67.48,83.09,94.6,3.05,True,37,2744.29,Sell 2026-09-18 $75 call ~$2.77 (98% ann.),Sell 2026-09-18 $70 put ~$1.32 (49% ann.)
TPR,"Tapestry, Inc.",68.8,A,22.3,37.1,0.0,0.0,0,-18.0,-13.4,Consumer Cyclical,,no meaningful dip today,opportunity,high leverage (D/E 572%); golden-cross regime,Accumulate,Medium,32.0,-0.4,-24.8,8.0,,122.1,115.67,130.67,167.4,7.05,True,38,4639.8,Sell 2026-09-04 $123 call ~$0.50 (149% ann.),Sell 2026-09-04 $122 put ~$0.35 (105% ann.)
