ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
WDC,Western Digital Corporation,76.6,A,45.2,53.2,1.0,11.33,2,-17.1,-22.0,Technology,moderate,down -3.8% today; uptrend intact (above EMA200); 53% upside to target; limited dip history,opportunity,high beta (2.2); golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,38.4,-3.8,-25.5,12.92,,434.3,352.89,542.85,665.25,1.33,False,3.0,1302.9,Sell 2026-08-14 $435 call ~$18.95 (265% ann.),Sell 2026-08-14 $430 put ~$16.92 (239% ann.)
RSI,"Rush Street Interactive, Inc.",76.2,A,38.0,44.7,0.0,-14.77,2,-15.5,-9.7,Consumer Cyclical,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,30.5,-0.8,-25.5,1.37,,24.88,22.45,28.12,36.0,1.33,False,102.0,2537.76,Sell 2026-08-21 $25 call ~$1.15 (130% ann.),Sell 2026-08-21 $22 put ~$0.38 (47% ann.)
SNDK,Sandisk Corporation,74.8,A,63.4,74.6,0.0,-1.0,1,-22.5,-27.4,Technology,moderate,down -3.7% today; uptrend intact (above EMA200); 75% upside to target; limited dip history,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,41.8,-3.7,-36.7,20.25,,1212.21,936.57,1579.73,2116.6365,1.33,False,,,Sell 2026-08-14 $1215 call ~$63.60 (319% ann.),Sell 2026-08-14 $1210 put ~$61.80 (311% ann.)
EXTR,"Extreme Networks, Inc.",74.7,B,23.9,39.8,0.0,-5.28,3,-0.8,-5.7,Technology,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,31.9,-1.4,-28.9,1.28,,23.97,21.33,27.48,33.5,1.33,False,94.0,2253.18,Sell 2026-08-21 $25 call ~$0.53 (61% ann.),Sell 2026-08-21 $23 put ~$0.60 (73% ann.)
ASTH,Astrana Health Inc.,73.3,B,35.0,41.2,0.667,6.47,6,-14.3,-23.3,Healthcare,,no meaningful dip today,opportunity,high short interest (10%); small cap (thinner liquidity); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,35.0,4.8,-23.7,3.84,,35.76,32.7,39.83,50.5,1.33,False,81.0,2896.56,Sell 2026-08-21 $40 call ~$0.70 (55% ann.),Sell 2026-08-21 $35 put ~$1.50 (120% ann.)
PTRN,Pattern Group Inc. - Series A,71.0,B,23.4,27.6,0.5,-3.32,2,27.4,22.5,Technology,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,39.9,-0.2,-23.8,3.01,,22.05,19.53,25.41,28.125,1.33,False,99.0,2182.95,Sell 2026-08-21 $22 call ~$1.02 (131% ann.),Sell 2026-08-21 $20 put ~$1.10 (154% ann.)
PENG,"Penguin Solutions, Inc.",69.5,C,16.3,27.1,1.0,4.43,1,26.4,21.5,Technology,,no meaningful dip today,opportunity,high short interest (27%); negative free cash flow; high beta (2.9); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,50.0,3.9,-25.4,1.5,,58.43,48.73,71.37,74.28571,1.33,False,25.0,1460.75,Sell 2026-08-21 $60 call ~$3.80 (183% ann.),Sell 2026-08-21 $55 put ~$2.48 (126% ann.)
APP,Applovin Corporation,69.3,A,54.6,64.2,0.75,8.76,4,-35.3,-24.3,Communication Services,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); high beta (2.5); strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,High,32.2,3.3,-31.6,6.83,,346.8,303.95,403.93,569.5,1.33,False,5.0,1734.0,Sell 2026-08-14 $350 call ~$10.00 (175% ann.),Sell 2026-08-14 $345 put ~$10.40 (183% ann.)
ALNY,"Alnylam Pharmaceuticals, Inc.",67.1,A,60.7,71.4,1.0,4.14,3,-30.9,-39.9,Healthcare,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); R:R 1.33 below 1.5 floor,Accumulate,High,34.2,1.4,-26.6,4.8,,219.2,195.53,250.76,375.75833,1.33,False,10.0,2192.0,Sell 2026-08-21 $220 call ~$6.55 (84% ann.),Sell 2026-08-21 $210 put ~$4.45 (59% ann.)
TTD,"The Trade Desk, Inc.",66.8,A,29.7,74.3,0.429,-0.18,7,-40.7,-29.7,Communication Services,,"down -21.9% with upside signals, but history is against it (bounced only 43% of 7 dips)",opportunity,high short interest (20%); near 52-week low (support test / falling knife); R:R 1.33 below 1.5 floor,Accumulate,Low,28.4,-21.9,-29.3,2.99,,13.8,11.85,16.4,24.05333,1.33,False,128.0,1766.4,Sell 2026-08-14 $14 call ~$0.39 (172% ann.),Sell 2026-08-14 $14 put ~$0.31 (137% ann.)
